"","OBJECTID","TRACT","GEOID","SQ_MILES","Shape_Area","quantile","pop","bmps","median.income","total.income","bmp.density"
"1",1,1001,11001001001,0.94750279,2454020.97014317,4,7168,106,105423.5,445020421,111.873021503187
"2",2,1002,11001001002,0.34349071,889636.856290747,4,3329,7,76705,134639759,20.3790082124783
"3",3,4001,11001004001,0.10650398,275844.048415666,4,3623,17,77629,230295472,159.618448061753
"4",4,4002,11001004002,0.07570544,196076.1888545,3,2720,8,65155,170535365,105.672723122671
"5",5,4100,11001004100,0.31541962,816933.062280377,4,2646,12,81283.5,217573711,38.044557913043
"6",6,4201,11001004201,0.07896109,204508.273887692,4,3250,2,69112,195239173,25.3289309962666
"7",7,4202,11001004202,0.08045908,208388.072346607,4,2688,0,67958,165982765,0
"8",8,4300,11001004300,0.09136068,236623.079935932,3,3164,16,56174,161937053,175.130045004043
"9",9,4400,11001004400,0.20142623,521691.548437318,4,4447,50,77519,325184107,248.229835806389
"10",10,1100,11001001100,0.64727184,1676426.38039493,4,4641,82,88358,326529055,126.685566917294
"11",11,1200,11001001200,0.47030868,1218093.87851016,4,4850,73,74166.5,304763968,155.217207558236
"12",12,1301,11001001301,1.10173667,2853484.86247428,4,3843,57,66620,240485097,51.7365007012066
"13",13,1302,11001001302,0.61471619,1592107.62646792,4,6672,29,73585,405180643,47.1762424217264
"14",14,1401,11001001401,0.30434534,788250.801150996,4,2975,57,79863.5,207763895,187.287244154946
"15",15,1402,11001001402,0.34560825,895121.269963101,4,2921,21,102986,181523449,60.7624383966529
"16",16,502,11001000502,0.2244972,581445.072597169,4,3095,15,75829,252908312,66.8159781057403
"17",17,3400,11001003400,0.41603782,1077532.99660087,3,4152,42,43117,75037699,100.952360532992
"18",18,3500,11001003500,0.1474256,381830.550236599,2,3594,45,32859.5,66239783,305.238710237571
"19",19,3600,11001003600,0.11800258,305625.267934718,3,4048,23,42788.5,161376203,194.91099262406
"20",20,3700,11001003700,0.11286229,292311.980827426,2,5507,44,41387.5,162058134,389.855637343527
"21",21,3800,11001003800,0.13737758,355806.303173665,3,4419,25,54786,209040361,181.980203756683
"22",22,3900,11001003900,0.15481328,400964.564907712,3,4304,13,59470,206237963,83.9721243552233
"23",23,6500,11001006500,0.1915159,496023.890978902,4,2469,11,79139,138021124,57.4364843858917
"24",24,1500,11001001500,1.81414212,4698606.50898024,4,5729,164,136868,464768292,90.4008556948118
"25",25,1600,11001001600,1.04219701,2699277.85855378,4,3799,152,86508.5,206050056,145.845745613874
"26",26,1702,11001001702,0.35908746,930032.250283736,3,2519,95,57746,99172867,264.559503136088
"27",27,100,11001000100,0.9153844,2370834.717974,4,4808,22,86101.5,444019426,24.0336191003474
"28",28,201,11001000201,0.20832214,539551.85681847,1,3736,29,23000,627662,139.20747933945
"29",29,202,11001000202,0.47662417,1234450.92243497,4,5294,22,95033.5,244019719,46.1579613136279
"30",30,300,11001000300,0.3946925,1022248.871354,3,6076,63,58822,306388942,159.617930414183
"31",31,400,11001000400,0.59122317,1531260.97201112,4,1428,42,110621,130390459,71.0391644495259
"32",32,501,11001000501,0.36466291,944472.612260386,4,3267,30,68973,182269099,82.2677579137401
"33",33,7304,11001007304,0.48279014,1250420.73146695,1,3513,26,20922,39995849.95,53.8536267538521
"34",34,7401,11001007401,0.55896528,1447713.42257725,1,2393,25,16504.5,17706306,44.7254970827526
"35",35,7403,11001007403,0.12590949,326104.07236817,1,2835,3,22754,27739508,23.826639278739
"36",36,7404,11001007404,0.31113134,805826.46422243,1,3246,24,24785.5,41892503,77.1378415302039
"37",37,7406,11001007406,0.14274111,369697.788765436,1,3028,25,18214.5,22222673,175.142255794424
"38",38,7407,11001007407,0.235764,610625.968253566,2,2551,58,29333.5,43791436,246.008720584992
"39",39,7408,11001007408,0.1476422,382391.546224026,1,3010,2,18636,22774343,13.5462625184398
"40",40,7409,11001007409,0.15357025,397745.127479349,1,3455,4,21349.5,40482342,26.0467115212745
"41",41,7502,11001007502,0.23773408,615728.446798271,1,4454,76,24720,50022193.2,319.684918544283
"42",42,4600,11001004600,0.16869473,436917.338248073,2,2929,65,41045,93634428,385.311384653214
"43",43,4701,11001004701,0.12402304,321218.203506362,2,3919,26,36630,104928195,209.638467175131
"44",44,4702,11001004702,0.12529109,324502.438578914,4,1742,29,69010,106167879,231.460992158341
"45",45,4801,11001004801,0.12257198,317459.981364852,3,2045,28,52484,99227482,228.437200737069
"46",46,4802,11001004802,0.1112353,288098.105370579,3,2845,41,41981,115913258,368.588029159808
"47",47,4901,11001004901,0.10496552,271859.444849674,3,2036,16,44409,77147230,152.431007820473
"48",48,4902,11001004902,0.1018765,263858.924567305,3,2615,32,52213.5,123680131,314.105804577111
"49",49,5001,11001005001,0.07904697,204730.715388826,4,1893,13,74090,124100006,164.459181673883
"50",50,5002,11001005002,0.09014992,233487.214065982,3,5799,10,53208,266261760,110.926332491476
"51",51,5201,11001005201,0.13114982,339676.463215864,4,5878,19,75149,401961716,144.872482478436
"52",52,5301,11001005301,0.11056772,286369.087779839,4,4902,16,72068,288225330,144.707695880859
"53",53,5500,11001005500,0.24613362,637483.158809735,4,6454,31,78901.5,409244354,125.947848977316
"54",54,5600,11001005600,0.18340975,475029.075783795,3,6523,17,61943.5,192250360,92.6886384175323
"55",55,5800,11001005800,0.35162813,910712.662854341,4,2737,276,89328,175823623,784.92013707777
"56",56,5900,11001005900,0.24858265,643826.10708364,3,2922,27,47249,89285287,108.615786339071
"57",57,6202,11001006202,4.40833363,11417531.6664333,3,33,47,52548,554878,10.6616249913916
"58",58,6400,11001006400,0.35386742,916512.417609171,1,2095,36,25016,36959590,101.733016280504
"59",59,6600,11001006600,0.11436764,296210.81455095,4,1876,10,80400,117490965,87.4373205567589
"60",60,6700,11001006700,0.16535538,428268.458887597,4,3679,12,83000,233122093,72.5709680567998
"61",61,6801,11001006801,0.09442962,244571.592741545,3,1893,30,51207.5,76178458,317.696926028083
"62",62,6802,11001006802,0.10911804,282614.430575733,3,2029,35,63716,96128685,320.753561922483
"63",63,6804,11001006804,0.78112045,2023092.67337275,1,3567,24,15698,1403283,30.7250949581463
"64",64,6900,11001006900,0.15840232,410260.129910805,4,2121,32,79464.5,117789037,202.017243181792
"65",65,7000,11001007000,0.16230789,420375.507392908,4,2748,20,74503,113568529,123.222598728873
"66",66,7100,11001007100,0.28235662,731300.275476049,3,2807,37,44333,90074658,131.039959325197
"67",67,600,11001000600,0.55705167,1442757.20675772,4,4395,66,81528.5,413850238,118.480930144236
"68",68,701,11001000701,0.21228371,549812.287648554,4,4502,15,68775,265927884,70.6601556944713
"69",69,702,11001000702,0.11308412,292886.528546715,3,3259,8,56357.5,121237434,70.743796741753
"70",70,801,11001000801,1.18764863,3075995.83756508,4,6526,112,94346,429046240,94.3039861882382
"71",71,802,11001000802,0.87975675,2278559.52143544,4,2775,90,78663,240968712,102.30100536313
"72",72,901,11001000901,1.16931895,3028522.18062107,4,6946,187,138978.5,443181730,159.922149555517
"73",73,1803,11001001803,0.45183515,1170247.66299615,1,3401,9,26235,76833849,19.9187690466313
"74",74,1804,11001001804,0.23232488,601718.669088252,1,4310,51,26535.5,101095037,219.520182255125
"75",75,1901,11001001901,0.29693939,769069.481664375,2,3887,79,37420,96561062,266.047559402611
"76",76,902,11001000902,0.84187806,2180454.16569644,4,2021,127,113487,176273097,150.853200759264
"77",77,3301,11001003301,0.16973472,439610.90178309,3,3072,28,52263,118997087,164.963302734997
"78",78,3302,11001003302,0.07668336,198608.997138154,3,2054,18,51120,82445643.83,234.731498463291
"79",79,8804,11001008804,0.3039147,787135.451864149,1,2375,24,25106.5,32464257.52,78.9695266467861
"80",80,8903,11001008903,0.11563101,299482.950950931,2,2591,16,29334,50045860,138.371186068512
"81",81,8904,11001008904,0.17626088,456513.574479548,1,3249,39,23445,38466036.9,221.262937073728
"82",82,9000,11001009000,0.5620618,1455733.36865934,3,2648,58,47746,65837807.73,103.19149958243
"83",83,9102,11001009102,0.70859999,1835265.55017918,2,4056,69,28794,77312944,97.3751072166964
"84",84,9201,11001009201,0.24740302,640770.875124095,2,1905,53,38115,45375827.82,214.225355858631
"85",85,9203,11001009203,0.22675181,587284.489541665,2,2519,13,35161,62405590,57.3314056456705
"86",86,9204,11001009204,0.11700677,303046.147344249,1,2503,28,26124,34706643,239.302392502588
"87",87,7200,11001007200,0.63385548,1641678.14768953,4,2709,322,70045,186295174,508.002234200137
"88",88,7301,11001007301,3.81233131,9873892.76213028,2,2818,31,40680,3361568,8.13150733218934
"89",89,2301,11001002301,0.15929393,412569.389844188,2,2899,52,37194.5,84654482,326.440561796674
"90",90,2302,11001002302,0.77803955,2015113.17440509,2,1983,40,37487,31103989,51.4112682318013
"91",91,2400,11001002400,0.21479058,556305.035604766,2,3524,37,38006,106668159,172.260813300099
"92",92,2501,11001002501,0.20981127,543408.695739987,2,2439,72,31627.5,74481381,343.165550639868
"93",93,2502,11001002502,0.23337814,604446.59456458,2,5514,40,32326,156512610,171.395658565108
"94",94,2600,11001002600,0.85570068,2216254.58992257,4,2074,64,74993.5,120160981,74.7925080531664
"95",95,2701,11001002701,0.17384986,450269.058831022,3,4989,7,42690,184313228,40.2646283407994
"96",96,7601,11001007601,0.48767122,1263062.67183,2,4285,44,29757,72209610,90.2247214834617
"97",97,7603,11001007603,0.4735655,1226529.02588878,3,3961,29,41564,96251269,61.2375690374404
"98",98,7604,11001007604,0.52836991,1368471.77761395,2,3594,51,36500.5,80847329,96.5232861197565
"99",99,7605,11001007605,0.17519328,453748.512541281,2,3380,26,29971,56942326,148.407518827206
"100",100,7703,11001007703,0.39043826,1011230.45369159,1,5105,34,24882,66007045,87.0816297562642
"101",101,7707,11001007707,0.3254007,842783.952986726,1,3828,24,28427.5,61842067,73.7552193341932
"102",102,7708,11001007708,0.33062668,856319.157832923,1,2438,7,25245,34921404,21.171915103766
"103",103,7709,11001007709,0.35698661,924591.06243485,2,1972,12,30352,30343665,33.6147061650296
"104",104,7803,11001007803,0.38712243,1002642.48252286,1,3244,16,27686,52825855,41.3305940448865
"105",105,7804,11001007804,0.3273591,847856.187174038,1,3366,45,24947,42241373,137.463721032957
"106",106,7806,11001007806,0.26597939,688883.467072914,1,2319,27,27394,35524039,101.511624641293
"107",107,2702,11001002702,0.19519457,505551.614962995,3,5006,11,48746.5,223639542,56.3540266514586
"108",108,2801,11001002801,0.06636841,171893.394000542,2,3602,3,28873,94212705,45.2022279876827
"109",109,2802,11001002802,0.08803683,228014.332339413,2,4043,25,31154.5,113498858,283.972060329751
"110",110,2900,11001002900,0.11673127,302332.611458249,2,3719,9,37310,137466819,77.1001634780466
"111",111,3000,11001003000,0.08182078,211914.857479168,3,3247,9,42954,108032013,109.996506999811
"112",112,3100,11001003100,0.11381374,294776.24488345,2,2757,24,35170,96124283,210.870849161094
"113",113,3200,11001003200,0.17175932,444854.607448458,2,4803,24,31551,119332154,139.730408806928
"114",114,9811,11001009811,0.18028749,466942.46731644,1,4293,33,18977,41515657,183.040986371267
"115",115,9901,11001009901,0.81156951,2101955.37479996,3,2212,77,49969,68391309,94.8778866766446
"116",116,9902,11001009902,0.499799,1294473.45459597,2,2872,18,37244,57137569,36.0144778200837
"117",117,9903,11001009903,0.14510729,375826.167714381,2,1809,21,33430,35118730,144.72050301539
"118",118,9904,11001009904,0.16400957,424782.841698579,1,2215,23,27487,35494438.76,140.235719171753
"119",119,9905,11001009905,0.16657246,431420.693863826,1,2729,25,27355,36150350,150.084833951543
"120",120,9906,11001009906,0.09573271,247946.582283868,1,1264,53,26833,21931724,553.624774645991
"121",121,9907,11001009907,0.18027327,466905.635699033,1,2789,11,22424,31452975.28,61.0184748964724
"122",122,10100,11001010100,0.22382153,579695.106431479,3,2540,49,64721,122209400,218.924426081798
"123",123,10200,11001010200,0.53519188,1386140.60622477,3,2208,53,62109,103762693,99.0299030695309
"124",124,10300,11001010300,0.41925902,1085875.88465221,2,3057,76,36564.5,76672409,181.272188252503
"125",125,10400,11001010400,1.04747956,2712959.59467214,1,4281,102,24753,45848533,97.3766017925925
"126",126,7503,11001007503,0.19295736,499757.274593085,1,2388,25,23253,29135292,129.562303298511
"127",127,7504,11001007504,0.30754628,796541.20604348,1,2406,44,20654,28493704,143.067898593994
"128",128,1902,11001001902,0.34292122,888161.868727607,3,1891,46,46000.5,60643912,134.141596720086
"129",129,2001,11001002001,0.24434608,632853.430341176,2,2244,29,32255,77796183,118.684122127108
"130",130,2002,11001002002,0.32786695,849171.50349221,2,3611,84,34515,111106825,256.201486609126
"131",131,2101,11001002101,0.2320722,601064.238813091,1,5075,28,28176.5,111940633,120.652107404506
"132",132,2102,11001002102,0.28025759,725863.829931322,2,4523,89,33861.5,113649527,317.564994403898
"133",133,2201,11001002201,0.16028206,415128.621962459,2,3354,25,32313,85149168,155.975035509277
"134",134,2202,11001002202,0.26851746,695457.037597032,2,2946,19,29500,65242968,70.7588996261174
"135",135,9302,11001009302,0.15572062,403314.549015264,2,1142,66,38884,32262752,423.83596982853
"136",136,9400,11001009400,0.61410113,1590514.63581645,3,4038,136,49363.5,122069723,221.461895046505
"137",137,9501,11001009501,0.61553166,1594219.67538047,1,5595,29,28334,66633719.98,47.1137422890644
"138",138,9503,11001009503,0.54960638,1423473.98609027,3,2810,66,55128,93340693.3,120.085942233786
"139",139,9504,11001009504,0.39623539,1026244.95498885,3,2940,85,44206.5,76802968,214.518950465278
"140",140,9505,11001009505,0.39791978,1030607.50172789,3,2571,98,41734,74524698,246.280795591513
"141",141,9507,11001009507,0.1137702,294663.464164052,2,1460,24,38410,37021683,210.951549702822
"142",142,9508,11001009508,0.36237186,938538.799502716,2,3240,59,36844,74438513.8,162.816174523044
"143",143,9509,11001009509,0.24930307,645691.979470196,3,2888,78,45890,83396856.4,312.872200089634
"144",144,9601,11001009601,0.8044534,2083524.73269691,1,2420,39,22438,31190145,48.4801232737658
"145",145,9602,11001009602,0.53282125,1380000.70395183,1,3220,97,23135.5,34651347,182.04979624968
"146",146,9603,11001009603,0.24681539,639248.922423749,2,3305,25,29205,54782066,101.290280156355
"147",147,9604,11001009604,0.21178946,548532.194925361,2,1925,11,36056.5,42571608,51.9383731371712
"148",148,9700,11001009700,0.15830455,410006.906521816,1,3141,16,27242,41269716,101.071005223792
"149",149,9801,11001009801,0.17318611,448549.968715114,1,1554,11,25883.5,19048407,63.5154863170031
"150",150,9802,11001009802,0.07750042,200725.165016534,1,1678,37,23629,18186608,477.41676754784
"151",151,7807,11001007807,0.20222209,523752.819176796,1,2108,32,25588,29022672,158.241861707591
"152",152,7808,11001007808,0.36693251,950350.839345495,1,3592,60,24266,47655483,163.517808765432
"153",153,7809,11001007809,0.20662337,535152.066889406,1,2875,20,24953,41012846,96.7944719902691
"154",154,7901,11001007901,0.15377372,398272.098442659,2,3730,36,31673,68844302,234.110223775558
"155",155,7903,11001007903,0.09366234,242584.352928883,2,1749,12,39557,41719677,128.119797135113
"156",156,8001,11001008001,0.1256733,325492.362612918,4,2701,32,67249,126560393,254.628469213429
"157",157,8002,11001008002,0.22320412,578096.01563321,4,2946,9,72447,162596832,40.3218363531999
"158",158,8100,11001008100,0.11284082,292256.371732737,4,2823,12,72100,168364052,106.34449483795
"159",159,8200,11001008200,0.13132069,340119.023976683,4,2843,12,67792.5,147633111,91.3793553780444
"160",160,8301,11001008301,0.11735394,303945.306896789,4,2225,20,80765,126739845,170.424614631601
"161",161,8302,11001008302,0.10072175,260868.12305757,4,2141,34,69139,121676185,337.563634468226
"162",162,8402,11001008402,0.10360556,268337.16866105,3,2081,17,55894.5,84827411,164.083858047773
"163",163,8410,11001008410,0.08499133,220126.527661906,3,1463,22,48372,54787972,258.849932104839
"164",164,8701,11001008701,0.14844409,384468.417754861,2,2360,10,37790,70853972,67.3654303111697
"165",165,8702,11001008702,0.18316221,474387.95575955,3,1557,23,41675,59322798,125.57175412985
"166",166,8802,11001008802,0.18214025,471741.081255413,2,4030,64,31959.5,80440359,351.377578541811
"167",167,8803,11001008803,0.44465154,1151642.20512901,1,1958,108,16546,14330450,242.886823241408
"168",168,9803,11001009803,0.2050207,531001.186270024,1,2719,39,23984,33847590,190.224694384518
"169",169,9804,11001009804,0.20011617,518298.512527794,1,2435,80,27427.5,34316210,399.767794876346
"170",170,9807,11001009807,0.40097933,1038531.69710494,2,3022,18,29196,50089141,44.8900944594825
"171",171,9810,11001009810,0.15924495,412442.526136786,1,2483,37,20845,23630871,232.346457454381
"172",172,10500,11001010500,0.29058304,752606.625014815,3,3296,99,52096,112250955,340.694350227735
"173",173,10600,11001010600,0.47744403,1236574.3509128,3,3814,132,55071.5,256230114,276.47219717042
"174",174,10700,11001010700,0.34420936,891498.140842399,3,1775,58,63057,121704083,168.502100000999
"175",175,10800,11001010800,0.2554135,661517.924546416,3,6194,61,42735,35939787,238.828409618129
"176",176,10900,11001010900,2.05169199,5313857.851102,1,3146,53,20753.5,25597789,25.8323375332766
"177",177,11000,11001011000,0.39706623,1028396.82375154,3,3584,20,66090,159856545,50.3694308125876
"178",178,11100,11001011100,2.34008013,6060779.69889432,2,4727,218,40625.5,108672370,93.1592030568628
